hands,fingers,lh_palm_pos_x,lh_palm_pos_y,lh_palm_pos_z,rh_palm_pos_x,rh_palm_pos_y,rh_palm_pos_z,lh_normal_x,lh_normal_y,lh_normal_z,rh_normal_x,rh_normal_y,rh_normal_z,lh_direction_x,lh_direction_y,lh_direction_z,rh_direction_x,rh_direction_y,rh_direction_z,lh_index_direction_x,lh_index_direction_y,lh_index_direction_z,lh_index_extended,lh_index_tip_x,lh_index_tip_y,lh_index_tip_z,lh_index_velocity_x,lh_index_velocity_y,lh_index_velocity_z,lh_middle_direction_x,lh_middle_direction_y,lh_middle_direction_z,lh_middle_extended,lh_middle_tip_x,lh_middle_tip_y,lh_middle_tip_z,lh_middle_velocity_x,lh_middle_velocity_y,lh_middle_velocity_z,lh_palm_vel_x,lh_palm_vel_y,lh_palm_vel_z,lh_pinky_direction_x,lh_pinky_direction_y,lh_pinky_direction_z,lh_pinky_extended,lh_pinky_tip_x,lh_pinky_tip_y,lh_pinky_tip_z,lh_pinky_velocity_x,lh_pinky_velocity_y,lh_pinky_velocity_z,lh_ring_direction_x,lh_ring_direction_y,lh_ring_direction_z,lh_ring_extended,lh_ring_tip_x,lh_ring_tip_y,lh_ring_tip_z,lh_ring_velocity_x,lh_ring_velocity_y,lh_ring_velocity_z,lh_sphere_center_x,lh_sphere_center_y,lh_sphere_center_z,lh_sphere_radius,lh_thumb_direction_x,lh_thumb_direction_y,lh_thumb_direction_z,lh_thumb_extended,lh_thumb_tip_x,lh_thumb_tip_y,lh_thumb_tip_z,lh_thumb_velocity_x,lh_thumb_velocity_y,lh_thumb_velocity_z,lh_wrist_pos_x,lh_wrist_pos_y,lh_wrist_pos_z,rh_index_direction_x,rh_index_direction_y,rh_index_direction_z,rh_index_extended,rh_index_tip_x,rh_index_tip_y,rh_index_tip_z,rh_index_velocity_x,rh_index_velocity_y,rh_index_velocity_z,rh_middle_direction_x,rh_middle_direction_y,rh_middle_direction_z,rh_middle_extended,rh_middle_tip_x,rh_middle_tip_y,rh_middle_tip_z,rh_middle_velocity_x,rh_middle_velocity_y,rh_middle_velocity_z,rh_palm_vel_x,rh_palm_vel_y,rh_palm_vel_z,rh_pinky_direction_x,rh_pinky_direction_y,rh_pinky_direction_z,rh_pinky_extended,rh_pinky_tip_x,rh_pinky_tip_y,rh_pinky_tip_z,rh_pinky_velocity_x,rh_pinky_velocity_y,rh_pinky_velocity_z,rh_ring_direction_x,rh_ring_direction_y,rh_ring_direction_z,rh_ring_extended,rh_ring_tip_x,rh_ring_tip_y,rh_ring_tip_z,rh_ring_velocity_x,rh_ring_velocity_y,rh_ring_velocity_z,rh_sphere_center_x,rh_sphere_center_y,rh_sphere_center_z,rh_sphere_radius,rh_thumb_direction_x,rh_thumb_direction_y,rh_thumb_direction_z,rh_thumb_extended,rh_thumb_tip_x,rh_thumb_tip_y,rh_thumb_tip_z,rh_thumb_velocity_x,rh_thumb_velocity_y,rh_thumb_velocity_z,rh_wrist_pos_x,rh_wrist_pos_y,rh_wrist_pos_z,label
1,5,12.50936031,174.9846802,50.429142,12.50936031,174.9846802,50.429142,-0.426158428,0.471597582,0.772000492,-0.426158428,0.471597582,0.772000492,-0.052859407,0.83893168,-0.541663706,-0.052859407,0.83893168,-0.541663706,-0.042935863,0.988062739,-0.147947699,1,33.91126633,267.3583679,25.3526535,1.19E-07,1.19E-07,1.19E-07,-0.204598531,0.971955836,0.115936764,1,2.687696934,270.0745239,30.51547432,1.19E-07,1.19E-07,1.19E-07,1.19E-07,1.19E-07,1.19E-07,-0.318166524,0.947946072,-0.012975578,1,-38.75462341,228.2136536,24.37739754,1.19E-07,1.19E-07,1.19E-07,-0.312865257,0.910940349,0.26889208,1,-24.4061985,251.6344604,36.15363693,1.19E-07,1.19E-07,1.19E-07,-7.076125622,220.1148834,75.88149261,60.39038086,-0.273139477,0.961574316,-0.027741812,0,15.63907528,225.8842621,88.69740295,1.19E-07,1.19E-07,1.19E-07,13.74727821,115.602478,84.8551712,-0.042935863,0.988062739,-0.147947699,1,33.91126633,267.3583679,25.3526535,1.19E-07,1.19E-07,1.19E-07,-0.204598531,0.971955836,0.115936764,1,2.687696934,270.0745239,30.51547432,1.19E-07,1.19E-07,1.19E-07,1.19E-07,1.19E-07,1.19E-07,-0.318166524,0.947946072,-0.012975578,1,-38.75462341,228.2136536,24.37739754,1.19E-07,1.19E-07,1.19E-07,-0.312865257,0.910940349,0.26889208,1,-24.4061985,251.6344604,36.15363693,1.19E-07,1.19E-07,1.19E-07,-7.076125622,220.1148834,75.88149261,60.39038086,-0.273139477,0.961574316,-0.027741812,0,15.63907528,225.8842621,88.69740295,1.19E-07,1.19E-07,1.19E-07,13.74727821,115.602478,84.8551712,four
1,5,11.52404785,188.7438965,46.20378494,11.52404785,188.7438965,46.20378494,-0.126819447,0.496309429,0.858832777,-0.126819447,0.496309429,0.858832777,-0.04758266,0.861782968,-0.505040586,-0.04758266,0.861782968,-0.505040586,0.070935331,0.99272871,-0.097251602,1,40.68057632,277.8830566,17.8882618,250.3152618,517.0339966,-193.7052307,-0.007189699,0.997112691,0.075595267,1,13.05744648,285.4720764,29.16218376,447.7264709,755.9160156,-185.6035919,-44.06190872,615.2947388,-188.9524994,-0.3034769,0.951048732,-0.058378983,1,-38.93582153,250.0407104,32.27957153,-222.6209717,935.7217407,221.8073578,-0.17019999,0.979837954,-0.104639977,1,-18.15750122,272.9077759,25.60892487,207.8155823,987.0967407,-782.9211426,10.11142445,239.3238525,89.09883118,71.12297058,-0.347214073,0.936859548,0.041672219,0,18.96138763,234.8953857,81.88754272,-166.0168152,366.1900635,-319.4008484,10.88723373,128.6212921,79.37334442,0.070935331,0.99272871,-0.097251602,1,40.68057632,277.8830566,17.8882618,250.3152618,517.0339966,-193.7052307,-0.007189699,0.997112691,0.075595267,1,13.05744648,285.4720764,29.16218376,447.7264709,755.9160156,-185.6035919,-44.06190872,615.2947388,-188.9524994,-0.3034769,0.951048732,-0.058378983,1,-38.93582153,250.0407104,32.27957153,-222.6209717,935.7217407,221.8073578,-0.17019999,0.979837954,-0.104639977,1,-18.15750122,272.9077759,25.60892487,207.8155823,987.0967407,-782.9211426,10.11142445,239.3238525,89.09883118,71.12297058,-0.347214073,0.936859548,0.041672219,0,18.96138763,234.8953857,81.88754272,-166.0168152,366.1900635,-319.4008484,10.88723373,128.6212921,79.37334442,four
1,5,10.55306244,193.7785034,44.06547165,10.55306244,193.7785034,44.06547165,-0.058134645,0.489726335,0.86993587,-0.058134645,0.489726335,0.86993587,-0.066909805,0.867538869,-0.492848277,-0.066909805,0.867538869,-0.492848277,0.078861885,0.991026163,-0.107925497,1,39.24071884,282.7149658,14.67735767,-64.22059631,216.0553741,-160.5831909,-0.010189936,0.989706278,0.142750219,1,11.90710449,290.9868469,28.19300652,-129.2465057,223.7095337,129.2284088,-43.24523926,224.2285004,-95.23516083,-0.365687966,0.920367599,-0.138548836,1,-42.36074066,255.2407074,31.94343376,-202.785202,190.6035156,-104.6662369,-0.212793887,0.937134206,-0.276583165,1,-21.76018524,277.5866699,16.90181923,-209.3256836,127.1316528,-482.8457642,6.136835098,240.3674164,74.71089172,62.71980286,-0.388911098,0.919082344,0.063527852,0,17.36544037,238.9086151,79.23854828,-153.1675415,162.4624329,-135.2949219,10.78986931,133.2516785,76.65544128,0.078861885,0.991026163,-0.107925497,1,39.24071884,282.7149658,14.67735767,-64.22059631,216.0553741,-160.5831909,-0.010189936,0.989706278,0.142750219,1,11.90710449,290.9868469,28.19300652,-129.2465057,223.7095337,129.2284088,-43.24523926,224.2285004,-95.23516083,-0.365687966,0.920367599,-0.138548836,1,-42.36074066,255.2407074,31.94343376,-202.785202,190.6035156,-104.6662369,-0.212793887,0.937134206,-0.276583165,1,-21.76018524,277.5866699,16.90181923,-209.3256836,127.1316528,-482.8457642,6.136835098,240.3674164,74.71089172,62.71980286,-0.388911098,0.919082344,0.063527852,0,17.36544037,238.9086151,79.23854828,-153.1675415,162.4624329,-135.2949219,10.78986931,133.2516785,76.65544128,four
1,5,10.6797123,196.5389099,42.17593002,10.6797123,196.5389099,42.17593002,-0.049080562,0.495636165,0.867142379,-0.049080562,0.495636165,0.867142379,-0.073928222,0.864004493,-0.498026967,-0.073928222,0.864004493,-0.498026967,0.073878393,0.978993237,-0.190037504,1,38.60848618,285.4571838,11.74932384,-28.53215981,102.4532166,-272.9073792,-0.00959604,0.984810293,0.173368394,1,11.20207691,293.8986511,27.27665138,3.379764557,116.5031738,111.6854248,5.663598537,123.4422379,-84.49789429,-0.393902987,0.895589113,-0.206786394,1,-43.92112732,257.2187805,28.58734703,-58.8079834,62.59497833,-216.209259,-0.23384805,0.905747175,-0.353464454,1,-23.19845963,279.2018127,10.79431248,-68.42079163,17.29219055,-312.8545227,2.555169344,240.3026276,63.39690018,57.44472504,-0.405912459,0.912093341,0.057626132,0,17.08468437,241.7993469,76.8671875,-21.34855652,114.4138184,-123.8989639,11.22939205,136.2126923,75.19256592,0.073878393,0.978993237,-0.190037504,1,38.60848618,285.4571838,11.74932384,-28.53215981,102.4532166,-272.9073792,-0.00959604,0.984810293,0.173368394,1,11.20207691,293.8986511,27.27665138,3.379764557,116.5031738,111.6854248,5.663598537,123.4422379,-84.49789429,-0.393902987,0.895589113,-0.206786394,1,-43.92112732,257.2187805,28.58734703,-58.8079834,62.59497833,-216.209259,-0.23384805,0.905747175,-0.353464454,1,-23.19845963,279.2018127,10.79431248,-68.42079163,17.29219055,-312.8545227,2.555169344,240.3026276,63.39690018,57.44472504,-0.405912459,0.912093341,0.057626132,0,17.08468437,241.7993469,76.8671875,-21.34855652,114.4138184,-123.8989639,11.22939205,136.2126923,75.19256592,four
1,5,10.87342644,196.5586548,41.48300934,10.87342644,196.5586548,41.48300934,-0.042026099,0.501823425,0.863948524,-0.042026099,0.501823425,0.863948524,-0.074365579,0.860742748,-0.503578842,-0.074365579,0.860742748,-0.503578842,0.073490657,0.965934753,-0.248131454,1,38.67163849,285.1847229,9.810760498,1.747024417,-36.30413437,-178.3677521,-0.010297357,0.989209354,0.146146417,1,11.50745869,293.9302673,26.21120644,11.18400574,44.06737137,-55.96840286,8.646012306,0.880921662,-30.92705345,-0.402987063,0.887353361,-0.224065825,1,-44.0572319,257.115509,27.32447052,-15.89992046,-18.61756516,-65.86058044,-0.241671368,0.891196609,-0.383879632,1,-23.41624451,278.656311,8.129854202,-19.86511993,-52.41740799,-131.0111694,1.727212429,238.9599152,57.63241959,55.17463684,-0.416245818,0.907797575,0.051410016,0,16.98119736,241.9081116,75.71937561,-13.3006773,-9.564058304,-61.75475311,11.39160824,136.4442444,74.9087677,0.073490657,0.965934753,-0.248131454,1,38.67163849,285.1847229,9.810760498,1.747024417,-36.30413437,-178.3677521,-0.010297357,0.989209354,0.146146417,1,11.50745869,293.9302673,26.21120644,11.18400574,44.06737137,-55.96840286,8.646012306,0.880921662,-30.92705345,-0.402987063,0.887353361,-0.224065825,1,-44.0572319,257.115509,27.32447052,-15.89992046,-18.61756516,-65.86058044,-0.241671368,0.891196609,-0.383879632,1,-23.41624451,278.656311,8.129854202,-19.86511993,-52.41740799,-131.0111694,1.727212429,238.9599152,57.63241959,55.17463684,-0.416245818,0.907797575,0.051410016,0,16.98119736,241.9081116,75.71937561,-13.3006773,-9.564058304,-61.75475311,11.39160824,136.4442444,74.9087677,four
1,5,11.03858185,195.708252,40.71716309,11.03858185,195.708252,40.71716309,-0.046102311,0.503474414,0.86277926,-0.046102311,0.503474414,0.86277926,-0.072372787,0.85974443,-0.50557065,-0.072372787,0.85974443,-0.50557065,0.079665527,0.961655676,-0.262434334,1,38.9104805,284.274353,8.85100174,29.12889671,-50.89404678,-63.74645615,0.001805819,0.978155077,0.207868621,1,11.62505341,293.1929626,25.86417198,34.50078964,-52.16275024,26.13021851,7.386211872,-38.03194809,-34.25074005,-0.40618977,0.886733592,-0.220711038,1,-44.02257919,256.1386108,26.012743,-0.728626311,-44.41813278,-36.13518524,-0.239015758,0.896546841,-0.372927874,1,-23.24361992,277.6207886,6.669243336,15.86080074,-36.04172134,-22.1283741,3.497714758,238.4478302,57.28757095,55.43523026,-0.434579045,0.899237037,0.05013825,0,16.04797935,240.9075317,74.77706146,-56.49354935,-63.2439537,-35.19501877,11.45926094,135.6822968,74.2805481,0.079665527,0.961655676,-0.262434334,1,38.9104805,284.274353,8.85100174,29.12889671,-50.89404678,-63.74645615,0.001805819,0.978155077,0.207868621,1,11.62505341,293.1929626,25.86417198,34.50078964,-52.16275024,26.13021851,7.386211872,-38.03194809,-34.25074005,-0.40618977,0.886733592,-0.220711038,1,-44.02257919,256.1386108,26.012743,-0.728626311,-44.41813278,-36.13518524,-0.239015758,0.896546841,-0.372927874,1,-23.24361992,277.6207886,6.669243336,15.86080074,-36.04172134,-22.1283741,3.497714758,238.4478302,57.28757095,55.43523026,-0.434579045,0.899237037,0.05013825,0,16.04797935,240.9075317,74.77706146,-56.49354935,-63.2439537,-35.19501877,11.45926094,135.6822968,74.2805481,four
1,5,11.16219807,194.6009827,39.97645187,11.16219807,194.6009827,39.97645187,-0.044689845,0.505566955,0.861629188,-0.044689845,0.505566955,0.861629188,-0.071053378,0.85869801,-0.507532418,-0.071053378,0.85869801,-0.507532418,0.085480958,0.960942388,-0.263216108,1,39.1711731,283.0363464,7.829760551,25.48210335,-57.23778152,-41.03440857,0.012561497,0.968944967,0.246957287,1,11.89972019,292.1099548,25.34558487,32.25503922,-68.90236664,0.536068559,5.518344879,-49.42984009,-33.06596756,-0.40506795,0.889127731,-0.213006526,1,-43.98225784,255.015213,24.98493385,7.236159325,-44.80082703,-16.43268013,-0.233344391,0.908388257,-0.346959859,1,-23.23844528,276.2948303,5.010835648,19.4855938,-27.20730209,23.05477142,4.712065697,238.0624847,58.44041824,56.39027023,-0.439146936,0.896942735,0.051416706,0,15.94672775,239.7865448,73.89694977,-5.123989105,-58.6435585,-26.61079025,11.52952003,134.6786194,73.69985199,0.085480958,0.960942388,-0.263216108,1,39.1711731,283.0363464,7.829760551,25.48210335,-57.23778152,-41.03440857,0.012561497,0.968944967,0.246957287,1,11.89972019,292.1099548,25.34558487,32.25503922,-68.90236664,0.536068559,5.518344879,-49.42984009,-33.06596756,-0.40506795,0.889127731,-0.213006526,1,-43.98225784,255.015213,24.98493385,7.236159325,-44.80082703,-16.43268013,-0.233344391,0.908388257,-0.346959859,1,-23.23844528,276.2948303,5.010835648,19.4855938,-27.20730209,23.05477142,4.712065697,238.0624847,58.44041824,56.39027023,-0.439146936,0.896942735,0.051416706,0,15.94672775,239.7865448,73.89694977,-5.123989105,-58.6435585,-26.61079025,11.52952003,134.6786194,73.69985199,four
1,5,11.28708172,193.7225647,39.264328,11.28708172,193.7225647,39.264328,-0.058439266,0.508414805,0.859127045,-0.058439266,0.508414805,0.859127045,-0.072487846,0.856164992,-0.511592627,-0.072487846,0.856164992,-0.511592627,0.082640082,0.958315969,-0.273497939,1,38.91124725,282.2531433,6.980085373,-3.077621698,-42.22055435,-53.88661194,0.00308326,0.969521105,0.244988322,1,11.35699368,291.2237244,24.5845108,-27.52392006,-46.47632599,-95.95936584,5.59038353,-39.32216644,-31.87797356,-0.402499467,0.893795252,-0.197798535,1,-44.61065674,253.4403687,23.08180046,10.37665653,-47.51944351,-20.99081039,-0.230468348,0.919994533,-0.317008495,1,-23.64092827,274.8434143,2.953027964,11.95773983,-26.6879406,20.11000252,5.771621227,237.9360657,59.27978897,57.34090424,-0.452581286,0.890545845,0.04580684,0,15.15260506,239.0263062,73.04667664,-31.43868446,-43.67412949,-34.54076767,11.82536221,133.9618225,73.24079895,0.082640082,0.958315969,-0.273497939,1,38.91124725,282.2531433,6.980085373,-3.077621698,-42.22055435,-53.88661194,0.00308326,0.969521105,0.244988322,1,11.35699368,291.2237244,24.5845108,-27.52392006,-46.47632599,-95.95936584,5.59038353,-39.32216644,-31.87797356,-0.402499467,0.893795252,-0.197798535,1,-44.61065674,253.4403687,23.08180046,10.37665653,-47.51944351,-20.99081039,-0.230468348,0.919994533,-0.317008495,1,-23.64092827,274.8434143,2.953027964,11.95773983,-26.6879406,20.11000252,5.771621227,237.9360657,59.27978897,57.34090424,-0.452581286,0.890545845,0.04580684,0,15.15260506,239.0263062,73.04667664,-31.43868446,-43.67412949,-34.54076767,11.82536221,133.9618225,73.24079895,four
1,5,11.44425964,192.7602386,38.83734894,11.44425964,192.7602386,38.83734894,-0.058248233,0.509227633,0.858658493,-0.058248233,0.509227633,0.858658493,-0.071520761,0.855780005,-0.512372255,-0.071520761,0.855780005,-0.512372255,0.084880494,0.957676888,-0.275045991,1,39.15964508,281.2322693,6.450469971,15.43442535,-47.53516006,-27.07998466,0.001009102,0.974847853,0.222869039,1,11.53653049,290.3296509,24.36212921,-0.160721973,-41.1027565,-110.4343414,7.015635967,-42.95294189,-19.05822945,-0.395058751,0.901036263,-0.179059207,1,-44.69173813,252.4010315,22.38361549,22.264534,-27.87220764,18.68300629,-0.226216093,0.928223789,-0.295342058,1,-23.52382278,273.8335571,2.168941498,16.72672081,-21.62206268,29.26744461,6.987555027,237.478363,59.8012886,57.9577446,-0.457843602,0.887764454,0.047471218,0,15.12329674,238.0261536,72.56581116,-1.323788047,-50.7430687,-13.64059734,11.961483,133.080719,72.91577148,0.084880494,0.957676888,-0.275045991,1,39.15964508,281.2322693,6.450469971,15.43442535,-47.53516006,-27.07998466,0.001009102,0.974847853,0.222869039,1,11.53653049,290.3296509,24.36212921,-0.160721973,-41.1027565,-110.4343414,7.015635967,-42.95294189,-19.05822945,-0.395058751,0.901036263,-0.179059207,1,-44.69173813,252.4010315,22.38361549,22.264534,-27.87220764,18.68300629,-0.226216093,0.928223789,-0.295342058,1,-23.52382278,273.8335571,2.168941498,16.72672081,-21.62206268,29.26744461,6.987555027,237.478363,59.8012886,57.9577446,-0.457843602,0.887764454,0.047471218,0,15.12329674,238.0261536,72.56581116,-1.323788047,-50.7430687,-13.64059734,11.961483,133.080719,72.91577148,four
1,5,11.58927822,192.344223,38.52311325,11.58927822,192.344223,38.52311325,-0.070498154,0.507653117,0.85867244,-0.070498154,0.507653117,0.85867244,-0.069108218,0.85626018,-0.511900902,-0.069108218,0.85626018,-0.511900902,0.084662311,0.958609283,-0.271846503,1,39.30872345,280.9799194,6.580265999,10.70962238,-11.96899319,4.313230991,-0.009105898,0.981845438,0.189463913,1,11.3349762,290.0209045,24.17362404,-14.05907536,-16.18154907,-108.2621155,6.400300503,-18.36058617,-13.86866856,-0.387274414,0.906763732,-0.166727588,1,-44.81935883,251.6966705,21.36901283,25.9693203,-13.72481346,-11.75478935,-0.22189261,0.934423625,-0.278596848,1,-23.37018776,273.3198547,1.410296679,24.24988747,-1.723853111,15.87877178,7.196732998,237.3596344,60.18954849,58.40617371,-0.453038245,0.89046675,0.042723697,0,14.20236492,237.4297943,72.31590271,17.81187439,-11.31449795,-15.20991802,12.02579784,132.6542206,72.54355621,0.084662311,0.958609283,-0.271846503,1,39.30872345,280.9799194,6.580265999,10.70962238,-11.96899319,4.313230991,-0.009105898,0.981845438,0.189463913,1,11.3349762,290.0209045,24.17362404,-14.05907536,-16.18154907,-108.2621155,6.400300503,-18.36058617,-13.86866856,-0.387274414,0.906763732,-0.166727588,1,-44.81935883,251.6966705,21.36901283,25.9693203,-13.72481346,-11.75478935,-0.22189261,0.934423625,-0.278596848,1,-23.37018776,273.3198547,1.410296679,24.24988747,-1.723853111,15.87877178,7.196732998,237.3596344,60.18954849,58.40617371,-0.453038245,0.89046675,0.042723697,0,14.20236492,237.4297943,72.31590271,17.81187439,-11.31449795,-15.20991802,12.02579784,132.6542206,72.54355621,four
1,5,11.90623379,191.9091644,38.13160706,11.90623379,191.9091644,38.13160706,-0.072492644,0.505013764,0.860061586,-0.072492644,0.505013764,0.860061586,-0.06735561,0.857882798,-0.509411693,-0.06735561,0.857882798,-0.509411693,0.089498237,0.95943749,-0.267338395,1,39.75532913,280.6217651,6.476865768,32.82863998,-17.20400047,-2.504183531,-0.012444633,0.987590075,0.156559929,1,11.63405704,289.6970825,23.80702782,10.85531807,-17.97066307,-98.07700348,14.37309742,-19.72918701,-17.75365448,-0.381279618,0.91122973,-0.155840531,1,-44.53111649,251.309494,20.96045113,28.13953972,-7.90044117,-0.394385636,-0.219342753,0.936806619,-0.272547424,1,-22.9444313,273.0215149,1.131840229,25.45265961,-3.069688082,5.469694138,8.435043335,236.8007813,59.07292938,58.09212494,-0.452523768,0.890542567,0.046435066,0,14.3292408,236.8513641,72.06234741,15.89890099,-21.86099243,-3.216318369,12.25706959,132.157486,72.01075745,0.089498237,0.95943749,-0.267338395,1,39.75532913,280.6217651,6.476865768,32.82863998,-17.20400047,-2.504183531,-0.012444633,0.987590075,0.156559929,1,11.63405704,289.6970825,23.80702782,10.85531807,-17.97066307,-98.07700348,14.37309742,-19.72918701,-17.75365448,-0.381279618,0.91122973,-0.155840531,1,-44.53111649,251.309494,20.96045113,28.13953972,-7.90044117,-0.394385636,-0.219342753,0.936806619,-0.272547424,1,-22.9444313,273.0215149,1.131840229,25.45265961,-3.069688082,5.469694138,8.435043335,236.8007813,59.07292938,58.09212494,-0.452523768,0.890542567,0.046435066,0,14.3292408,236.8513641,72.06234741,15.89890099,-21.86099243,-3.216318369,12.25706959,132.157486,72.01075745,four
1,5,12.56437874,191.3369598,37.36988831,12.56437874,191.3369598,37.36988831,-0.081256188,0.5017851,0.861167312,-0.081256188,0.5017851,0.861167312,-0.064844415,0.859532416,-0.506950974,-0.064844415,0.859532416,-0.506950974,0.092530906,0.960434914,-0.262683928,1,40.49475861,280.2141113,6.202707767,25.59394264,0.12197075,12.52790642,-0.017315317,0.992400348,0.121826492,1,12.09769821,289.2350464,22.88079262,19.19264603,-2.986013412,-32.5038414,14.41328144,-6.76552248,-10.18834114,-0.375946015,0.913598001,-0.154929876,1,-43.9643364,250.6368408,19.84880447,21.52607918,3.389074802,-6.729737282,-0.221906051,0.929461122,-0.294719636,1,-22.19560051,272.5046997,0.233255804,18.05782127,0.339390457,-15.85542297,7.834020615,235.2077637,55.30250168,56.47592545,-0.431764871,0.900897264,0.044308044,0,13.75601959,235.9285736,71.39582825,62.44332886,-0.096361026,2.34922266,12.80368996,131.5245514,71.09513855,0.092530906,0.960434914,-0.262683928,1,40.49475861,280.2141113,6.202707767,25.59394264,0.12197075,12.52790642,-0.017315317,0.992400348,0.121826492,1,12.09769821,289.2350464,22.88079262,19.19264603,-2.986013412,-32.5038414,14.41328144,-6.76552248,-10.18834114,-0.375946015,0.913598001,-0.154929876,1,-43.9643364,250.6368408,19.84880447,21.52607918,3.389074802,-6.729737282,-0.221906051,0.929461122,-0.294719636,1,-22.19560051,272.5046997,0.233255804,18.05782127,0.339390457,-15.85542297,7.834020615,235.2077637,55.30250168,56.47592545,-0.431764871,0.900897264,0.044308044,0,13.75601959,235.9285736,71.39582825,62.44332886,-0.096361026,2.34922266,12.80368996,131.5245514,71.09513855,four
1,5,12.86087036,191.1431274,36.960392,12.86087036,191.1431274,36.960392,-0.085297398,0.507182002,0.857607603,-0.085297398,0.507182002,0.857607603,-0.065437786,0.856034458,-0.512760103,-0.065437786,0.856034458,-0.512760103,0.090477601,0.960844517,-0.261900008,1,40.67092133,279.8775024,5.236951828,7.520499229,-11.77087975,-25.91980934,-0.020865014,0.99427706,0.104774855,1,12.16987324,288.9525146,21.69943428,4.118098259,-15.62102985,-68.68134308,13.27830601,-8.680792809,-18.33922958,-0.375867605,0.912160575,-0.163360342,1,-43.79280472,250.1724243,18.85347557,14.64848518,-17.28276634,-45.81281281,-0.224446982,0.923946798,-0.309751302,1,-22.0005455,271.976532,-0.846074343,8.968308449,-25.32203102,-55.26506805,7.625684738,235.0708923,54.49412537,56.41352844,-0.429759622,0.902188778,0.036906622,0,13.68350983,235.9178467,70.67966461,23.89111137,6.533855915,-31.89504814,13.14684105,131.5271606,71.04585266,0.090477601,0.960844517,-0.261900008,1,40.67092133,279.8775024,5.236951828,7.520499229,-11.77087975,-25.91980934,-0.020865014,0.99427706,0.104774855,1,12.16987324,288.9525146,21.69943428,4.118098259,-15.62102985,-68.68134308,13.27830601,-8.680792809,-18.33922958,-0.375867605,0.912160575,-0.163360342,1,-43.79280472,250.1724243,18.85347557,14.64848518,-17.28276634,-45.81281281,-0.224446982,0.923946798,-0.309751302,1,-22.0005455,271.976532,-0.846074343,8.968308449,-25.32203102,-55.26506805,7.625684738,235.0708923,54.49412537,56.41352844,-0.429759622,0.902188778,0.036906622,0,13.68350983,235.9178467,70.67966461,23.89111137,6.533855915,-31.89504814,13.14684105,131.5271606,71.04585266,four
1,5,13.1886158,190.9794464,36.57524872,13.1886158,190.9794464,36.57524872,-0.087938912,0.504487038,0.858929336,-0.087938912,0.504487038,0.858929336,-0.063311063,0.857695878,-0.510244489,-0.063311063,0.857695878,-0.510244489,0.091378637,0.962590516,-0.255087137,1,41.15052795,279.7976379,5.203735828,20.95984459,-1.411156893,5.26986742,-0.020954704,0.994784832,0.099819772,1,12.58133316,288.8444824,21.51332855,20.15018654,-5.403912544,-20.40812683,14.64521122,-7.314061165,-17.20990753,-0.374047786,0.912556231,-0.165315956,1,-43.40867996,250.08461,18.44196701,21.61551285,-1.582943797,-25.33331108,-0.224351883,0.921090066,-0.318212748,1,-21.52872849,271.9483032,-1.152426958,21.07186699,-4.804904461,-25.70846748,7.47914362,234.6744232,53.73538589,56.16309357,-0.424535662,0.904655993,0.036973197,0,13.7815876,235.6081696,70.41551971,31.8590126,-5.073937416,-17.39139175,13.35102463,131.2818451,70.49755859,0.091378637,0.962590516,-0.255087137,1,41.15052795,279.7976379,5.203735828,20.95984459,-1.411156893,5.26986742,-0.020954704,0.994784832,0.099819772,1,12.58133316,288.8444824,21.51332855,20.15018654,-5.403912544,-20.40812683,14.64521122,-7.314061165,-17.20990753,-0.374047786,0.912556231,-0.165315956,1,-43.40867996,250.08461,18.44196701,21.61551285,-1.582943797,-25.33331108,-0.224351883,0.921090066,-0.318212748,1,-21.52872849,271.9483032,-1.152426958,21.07186699,-4.804904461,-25.70846748,7.47914362,234.6744232,53.73538589,56.16309357,-0.424535662,0.904655993,0.036973197,0,13.7815876,235.6081696,70.41551971,31.8590126,-5.073937416,-17.39139175,13.35102463,131.2818451,70.49755859,four
